second_name,bus_type,first_line,company,cost,second_line,update_time,time,first_name,name
深圳旅游9号线公交车路线(深圳湾口岸—宝源科技),旅游专线,"1:宝源科技
2:富士康南门
3:金湖湾园区
4:观悦酒店
5:福城街道办
6:银星工业区
7:长安桥
8:观澜汽车站(1)
9:岗头村
10:吉盛酒店
11:龙华中心医院(1)
12:观澜二小
13:田背路口
14:竹村
15:清湖市场
16:龙华汽车站
17:龙华天虹商场
18:龙华敬老院
19:大浪石观工业区
20:羊台山
21:华胜实验学校
22:西乡奋达科技
23:固戍地铁站
24:联升购物广场
25:银田工业区
",深圳市新通宝运输有限公司,票价信息：冷巴上车2元，分段收费，全程6元,"26:西乡客运站
27:同仁妇科医院
28:西乡步行街
29:河东
30:创业天虹商场
31:宝安交通运输局(1)
32:深南北环立交(3)
33:海能达大厦
34:科苑北
35:深南科苑立交北
36:高科技中心
37:科苑地铁站
38:深圳湾口岸公交总站
",最后更新：2018-12-14,运行时间：观澜富士康南门06:10-19:00 |深圳湾口岸公交总站08:00-19:30,深圳旅游9号线公交车路线(宝源科技—深圳湾口岸),深圳旅游9号线公交车路线
深圳大鹏假日专线7公交车路线(新大集散中心—福宁总站),旅游专线,"1:福宁总站
2:龙岗文化中心
3:龙城广场地铁站(1)
4:龙岗街道办
5:双龙地铁站(1)
6:龙东社区
7:同乐社区
8:坪山公园
9:三洋湖
10:葵涌中学
11:大鹏山庄
12:大鹏二小
13:较场尾西
14:新大集散中心
",深圳巴士集团股份有限公司,票价信息：冷巴10元,"1:新大集散中心
2:较场尾西
3:大鹏二小
4:大鹏山庄
5:葵涌中学
6:三洋湖
7:坪山公园
8:同乐社区
9:龙东社区
10:双龙地铁站(1)
11:龙岗街道办
12:龙城广场地铁站(1)
13:龙岗文化中心
14:福宁总站
",最后更新：2018-12-14,运行时间：龙岗福宁总站08:00-17:00 |新大集散中心10:00-21:00,深圳大鹏假日专线7公交车路线(福宁总站—新大集散中心),深圳大鹏假日专线7公交车路线
深圳大鹏假日专线8公交车路线(新大集散中心—深圳东站西广场),旅游专线,"1:深圳东站西广场
2:荣超花园(1)
3:草埔地铁站(5)
4:田贝(2)
5:留医部(2)
6:竹园宾馆
7:怡景地铁站(1)
8:罗湖体育馆
9:莲塘
10:大鹏山庄
11:大鹏二小
12:较场尾西
13:银滩路口
14:新大集散中心
",深圳巴士集团股份有限公司,票价信息：冷巴10元,"1:新大集散中心
2:银滩路口
3:较场尾西
4:大鹏二小
5:大鹏山庄
6:莲塘
7:罗湖体育馆
8:怡景地铁站(1)
9:竹园宾馆(1)
10:留医部(2)
11:田贝(2)
12:草埔地铁站
13:荣超花园(1)
14:深圳东站西广场
",最后更新：2018-12-14,运行时间：深圳东站西广场08:00-13:00 |新大集散中心13:30-21:00,深圳大鹏假日专线8公交车路线(深圳东站西广场—新大集散中心),深圳大鹏假日专线8公交车路线
深圳假日专线7号线公交车路线(深圳北站—仙田总站),旅游专线,"1:仙田总站
2:新龙岗花园
3:尚景欣园
4:城龙花园
5:龙福一村
6:紫薇花园
7:龙岗妇儿中心
8:和兴花园
9:龙岗党校
10:黄阁翠苑
11:中海康城国际东
12:深圳北站交通枢纽公交场站
",深圳市东部公共交通有限公司,票价信息：冷巴10元,"1:深圳北站交通枢纽公交场站
2:中海康城国际东
3:黄阁翠苑
4:龙岗党校
5:和兴花园
6:龙岗妇儿中心
7:紫薇花园
8:宝能城市广场
9:城龙花园
10:尚景欣园
11:新龙岗花园
12:仙田总站
",最后更新：2018-12-14,运行时间：仙田总站06:30-19:30 |深圳北站08:00-21:00,深圳假日专线7号线公交车路线(仙田总站—深圳北站),深圳假日专线7号线公交车路线
深圳大鹏假日专线5公交车路线(大鹏二小—深南北环立交(1)),旅游专线,"1:深南北环立交(1)
2:南头(1)
3:深大北门(1)
4:大冲
5:白石洲(2)
6:世界之窗(2)
7:深圳人才园(1)
8:下沙(1)
9:皇岗村北
10:联合广场
11:罗湖体育馆
12:莲塘
13:大鹏山庄
14:大鹏二小
",深圳市东部公共交通有限公司,票价信息：冷巴2元,"1:大鹏二小
2:大鹏山庄
3:莲塘
4:罗湖体育馆
5:联合广场
6:皇岗村北
7:下沙(1)
8:深圳人才园
9:世界之窗(2)
10:白石洲(2)
11:大冲
12:深大北门(1)
13:南头(1)
14:深南北环立交(1)
",最后更新：2018-12-14,运行时间：深南北环立交08:00-13:00 |大鹏二小14:00-21:00,深圳大鹏假日专线5公交车路线(深南北环立交(1)—大鹏二小),深圳大鹏假日专线5公交车路线
深圳大鹏假日专线6公交车路线(新大集散中心—民治民塘路总站),旅游专线,"1:民治民塘路总站
2:南贤广场
3:东泉新村
4:铁路桥
5:深圳北站东广场
6:白石龙幼儿园
7:白石龙地铁站
8:民乐地铁站(2)
9:银湖汽车站(1)
10:泥岗村(1)
11:翠竹北
12:罗湖体育馆
13:莲塘
14:大鹏山庄
15:大鹏二小
16:较场尾西
17:银滩路口
18:新大集散中心
",深圳巴士集团股份有限公司,票价信息：冷巴10元,"1:新大集散中心
2:银滩路口
3:较场尾西
4:大鹏二小
5:大鹏山庄
6:莲塘
7:罗湖体育馆
8:水贝地铁站
9:泥岗村(1)
10:银湖汽车站(1)
11:民乐地铁站(2)
12:白石龙地铁站
13:白石龙幼儿园
14:深圳北站东广场
15:民治民塘路总站
",最后更新：2018-12-14,运行时间：民治民塘路总站08:00-14:00 |新大集散中心14:00-21:00,深圳大鹏假日专线6公交车路线(民治民塘路总站—新大集散中心),深圳大鹏假日专线6公交车路线
深圳旅游6号线公交车路线(茵特拉根酒店—大峡谷),旅游专线,"1:大峡谷
2:大峡谷宿舍
3:大华兴寺牌坊
4:大华兴寺登山道
5:大石头
6:茶溪谷入口
7:茶溪谷(黑森林酒店)
8:茵特拉根酒店
",深圳东部华侨城有限公司,票价信息：冷巴10元,"1:茵特拉根酒店
2:茶溪谷(黑森林酒店)
3:大石头
4:云海谷
5:大峡谷宿舍
6:大峡谷
",最后更新：2018-12-14,运行时间：大峡谷07:00-23:00 |茵特拉根酒店07:25-23:00,深圳旅游6号线公交车路线(大峡谷—茵特拉根酒店),深圳旅游6号线公交车路线
深圳旅游5号线公交车路线(金沙湾度假村—福田交通枢纽),旅游专线,"1:福田交通枢纽
2:下沙(2)
3:上沙
4:福田实验学校(1)
5:会展中心南
6:联合广场
7:上步中学(2)
8:罗湖医院
9:东门(3)
10:留医部(2)
11:怡景地铁站(2)
12:罗湖体育馆
13:莲塘
14:畔山花园
15:葵涌中学
16:葵涌中心
17:大鹏汽车站
18:大鹏中心(1)
19:金沙湾度假村
",深圳市大鹏海滨汽车运输有限公司,票价信息：冷巴上车3元，分段收费，全程15元,"1:金沙湾度假村
2:大鹏中心(1)
3:大鹏汽车站
4:葵涌中心
5:葵涌中学
6:畔山花园
7:莲塘
8:罗湖体育馆
9:怡景地铁站(2)
10:留医部(2)
11:东门(4)
12:罗湖医院
13:上步中学(2)
14:联合广场
15:会展中心南
16:福田实验学校(1)
17:下沙(2)
18:竹子林(2)
19:福田交通枢纽
",最后更新：2018-12-14,运行时间：福田交通枢纽--金沙湾度假村06:30--19:30,深圳旅游5号线公交车路线(福田交通枢纽—金沙湾度假村),深圳旅游5号线公交车路线
深圳大鹏假日专线3公交车路线(大鹏所城—深圳北站),旅游专线,"1:深圳北站交通枢纽公交场站
2:银湖汽车站(1)
3:泥岗村(1)
4:宝安北路口(2)
5:罗湖体育馆
6:葵涌中心
7:大鹏所城
",深圳市东部公共交通有限公司,票价信息：冷巴10元,"1:大鹏所城
2:葵涌中心
3:罗湖体育馆
4:宝安北路口
5:泥岗村(1)
6:银湖汽车站(1)
7:深圳北站交通枢纽公交场站
",最后更新：2018-12-14,运行时间：深圳北站07:30-17:00 |大鹏所城09:00-20:30,深圳大鹏假日专线3公交车路线(深圳北站—大鹏所城),深圳大鹏假日专线3公交车路线
深圳大鹏假日接驳专线4号公交车路线(双拥码头—新大集散中心),旅游专线,"1:新大集散中心
2:新大社区
3:上下横岗
4:南隆社区
5:南澳医院
6:南澳供电所
7:双拥码头
",深圳巴士集团股份有限公司,票价信息：冷巴2元,"1:双拥码头
2:南澳街道办
3:南澳中学北门
4:上下横岗
5:新大社区
6:新大集散中心
",最后更新：2018-12-14,运行时间：新大集散中心09:00-18:00 |双拥码头09:30-18:40,深圳大鹏假日接驳专线4号公交车路线(新大集散中心—双拥码头),深圳大鹏假日接驳专线4号公交车路线
深圳大鹏假日专线4公交车路线(新大集散中心—福田高铁站),旅游专线,"1:福田高铁站
2:上海宾馆
3:深圳书城
4:黄贝岭地铁站(3)
5:罗湖体育馆
6:莲塘
7:大鹏油站
8:大鹏中心(2)
9:大鹏第一工业区
10:大鹏第四工业区
11:布新社区
12:新大集散中心
",深圳巴士集团股份有限公司,票价信息：冷巴10元,"1:新大集散中心
2:布新社区
3:大鹏第四工业区
4:大鹏第一工业区
5:大鹏中心(2)
6:大鹏油站
7:莲塘
8:罗湖体育馆
9:黄贝岭地铁站(1)
10:深圳书城
11:上海宾馆
12:福田高铁站
",最后更新：2018-12-14,运行时间：福田高铁站08:00-13:00 |新大集散中心13:00-21:00,深圳大鹏假日专线4公交车路线(福田高铁站—新大集散中心),深圳大鹏假日专线4公交车路线
