time,company,update_time,cost,first_name,first_line,second_line,name,second_name,bus_type
运行时间：龙华总站06:30-08:00 |长凤路总站17:30-19:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线170公交车路线(龙华总站—长凤路总站),"1:龙华总站
2:龙华汽车站西
3:美丽365花园
4:龙华文化广场
5:瓦窑排
6:松和小学
7:风和日丽北
8:华富市场
9:龙华街道办
10:牛地埔
11:大浪石观工业区
12:羊台山
13:上横朗
14:长城工业区
15:万联商场
16:石岩汽车站
17:玉律
18:科士达
19:长凤路总站
","1:长凤路总站
2:科士达
3:玉律
4:石岩汽车站
5:万联商场
6:长城工业区
7:上横朗
8:羊台山
9:大浪石观工业区
10:牛地埔
11:龙华街道办
12:华富市场
13:风和日丽北
14:松和小学
15:瓦窑排
16:龙华文化广场
17:美丽365花园
18:龙华汽车站西
19:龙华总站
",深圳高峰专线170公交车路线,深圳高峰专线170公交车路线(长凤路总站—龙华总站),高峰专线
运行时间：锦绣观园公交总站06:45 |观澜二中18:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线173公交车路线(锦绣观园公交总站—观澜二中),"1:锦绣观园公交总站
2:观澜二中
","1:观澜二中
2:锦绣观园公交总站
",深圳高峰专线173公交车路线,深圳高峰专线173公交车路线(观澜二中—锦绣观园公交总站),高峰专线
运行时间：松岗山门工业区场站06:30-07:50 14:20-15:40 |深圳东站东广场09:50-11:10 17:30-18:50,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴上车2元，分段收费，全程6元,深圳高峰专线169公交车路线(松岗山门工业区场站—深圳东站东广场),"1:松岗山门工业区场站
2:埃迪蒙托
3:公明行政执法队
4:公明老街
5:公明派出所
6:宏发上域
7:新湖派出所
8:中泰工业园
9:圳美市场
10:圳美路口
11:中大附七换乘站
12:光晟厂
13:第二职业技术学校
14:勒堡工业园
15:农业科技园
16:光明供电所
17:光明中心站
18:东周小学
19:光明交通局
20:光明大道换乘站
21:上横朗
22:谭罗村
23:龙华交管所
24:国泰家私城
25:万众城家居广场
","26:梅花山庄
27:大发埔油站
28:坂田地铁站
29:杨美地铁站
30:丽湖花园
31:布吉汽车站
32:东方半岛
33:木棉湾地铁站(2)
34:龙珠花园(2)
35:深圳东站东广场
",深圳高峰专线169公交车路线,深圳高峰专线169公交车路线(深圳东站东广场—松岗山门工业区场站),高峰专线
运行时间：公明中心换乘站--中大附七06:50 07:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线168公交车路线(公明中心换乘站—中大附七),"1:公明中心换乘站
2:雍景城西
3:宏发上域
4:新湖派出所
5:楼村小学
6:圳美市场
7:圳美路口
8:中大附七
",,深圳高峰专线168公交车路线,,高峰专线
运行时间：石岩综合场站06:30-07:30 |科技生态园公交总站17:30-18:30,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线165公交车路线(石岩综合场站—科技生态园公交总站),"1:石岩综合场站
2:石岩汽车站
3:河滨花园
4:浪心村委
5:罗租社区
6:一电科技(1)
7:创维天桥
8:应人石路口
9:南岗工业区
10:白芒村
11:直升机场
12:豪方现代豪园
13:研祥科技大厦
14:深大北门(1)
15:科技园(1)
16:高新园地铁站
17:高新公寓
18:科技生态园公交总站
","1:科技生态园公交总站
2:高新公寓
3:大冲
4:科技园(1)
5:深大北门(1)
6:研祥科技大厦
7:豪方现代豪园
8:直升机场
9:白芒村
10:南岗工业区
11:应人石路口
12:创维天桥
13:一电科技(1)
14:罗租社区
15:浪心村委
16:河滨花园
17:石岩汽车站
18:石岩综合场站
",深圳高峰专线165公交车路线,深圳高峰专线165公交车路线(科技生态园公交总站—石岩综合场站),高峰专线
运行时间：光谷苑07:50 |田寮总站18:25,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线167公交车路线(光谷苑—田寮总站),"1:光谷苑
2:华星光电
3:东长路口
4:甲子塘路口
5:恒海工业园
6:塘尾羽毛球馆
7:明湖公园
8:宏发高新产业园
9:田寮工业区
10:田寮总站
","1:田寮总站
2:宏发高新产业园
3:明湖公园
4:塘尾羽毛球馆
5:恒海工业园
6:甲子塘路口
7:东长路口
8:华星光电
9:光谷苑
",深圳高峰专线167公交车路线,深圳高峰专线167公交车路线(田寮总站—光谷苑),高峰专线
运行时间：石岩羊台苑06:30-07:30 |侨香深云路口18:00-19:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线166公交车路线(石岩羊台苑—侨香香山西路口),"1:石岩羊台苑
2:石岩文化中心
3:石岩公学西
4:石岩南康百货
5:万联商场
6:河滨花园
7:浪心村委
8:罗租社区
9:一电科技
10:创维天桥
11:应人石路口
12:南岗工业区
13:白芒村
14:九祥岭(2)
15:西丽法庭(1)
16:龙辉花园(2)
17:桃源村
18:桃源村东
19:沙河建工村
20:天鹅堡
21:侨香香山西路口
","1:侨香深云路口
2:沙河建工村
3:桃源村东
4:桃源村
5:龙辉花园(2)
6:西丽法庭(1)
7:九祥岭(2)
8:白芒村
9:南岗工业区
10:应人石路口
11:创维天桥
12:一电科技
13:罗租社区
14:浪心村委
15:河滨花园
16:万联商场
17:石岩南康百货
18:石岩文化中心
19:石岩羊台苑
",深圳高峰专线166公交车路线,深圳高峰专线166公交车路线(侨香深云路口—石岩羊台苑),高峰专线
运行时间：坪地汽车站--坪地汽车站07:50 18:00,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线160公交车路线(坪地汽车站—坪地汽车站),"1:坪地汽车站
2:中海康城国际
3:嘉欣园
4:奥林华府
5:公园大地
6:龙城中学
7:新亚洲花园
8:欧景城
9:龙岗妇幼保健院
10:中南人防加油站
11:坪地街道办
12:坪地汽车站
",,深圳高峰专线160公交车路线,,高峰专线
运行时间：沙井地铁站08:20 |汇聚新桥107创智园18:20,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线159公交车路线(沙井地铁站—汇聚新桥107创智园),"1:沙井地铁站
2:汇聚新桥107创智园
","1:汇聚新桥107创智园
2:沙井地铁站
",深圳高峰专线159公交车路线,深圳高峰专线159公交车路线(汇聚新桥107创智园—沙井地铁站),高峰专线
运行时间：坪洲地铁站07:50 08:00 08:10 |科技园公交总站18:00 18:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线158公交车路线(坪洲地铁站—科技园公交总站),"1:坪洲地铁站
2:科技园(2)
3:科技园公交总站
","1:科技园公交总站
2:科技园(2)
3:坪洲地铁站
",深圳高峰专线158公交车路线,深圳高峰专线158公交车路线(科技园公交总站—坪洲地铁站),高峰专线
